frequency_hz,target_db,fitted_iir_db,error_db
707.81829,-3.0132649,-3.1542581,-0.14099323
714.22184,-3.0082086,-3.1549267,-0.14671815
720.68332,-2.9962107,-3.1560062,-0.15979541
727.20325,-2.9747364,-3.1574978,-0.18276145
733.78217,-2.9634399,-3.1594024,-0.19596242
740.42061,-2.9533105,-3.1617198,-0.20840929
747.1191,-2.933201,-3.1644494,-0.23124839
753.8782,-2.9093551,-3.1675898,-0.25823467
760.69844,-2.9002804,-3.1711389,-0.27085854
767.58038,-2.8915252,-3.175094,-0.28356882
774.52459,-2.8620778,-3.1794515,-0.31737371
781.53162,-2.839884,-3.1842072,-0.34432323
788.60204,-2.8271452,-3.1893562,-0.36221102
795.73643,-2.8103026,-3.1948927,-0.38459016
802.93536,-2.7931954,-3.2008104,-0.40761506
810.19941,-2.7671546,-3.2071022,-0.4399476
817.52919,-2.75057,-3.2137602,-0.46319021
824.92528,-2.7440027,-3.2207759,-0.47677328
832.38827,-2.7297976,-3.2281402,-0.49834266
839.91879,-2.7132308,-3.2358433,-0.52261243
847.51743,-2.6991415,-3.2438745,-0.54473298
855.18482,-2.6920206,-3.2522227,-0.56020209
862.92157,-2.682754,-3.2608763,-0.57812238
870.72832,-2.6820101,-3.269823,-0.58781288
878.60569,-2.6728002,-3.2790499,-0.60624965
886.55433,-2.6602777,-3.2885436,-0.62826589
894.57488,-2.668081,-3.2982903,-0.63020933
902.66799,-2.6609823,-3.3082757,-0.64729338
910.83431,-2.6573842,-3.3184852,-0.66110096
919.07452,-2.6680781,-3.3289035,-0.66082542
927.38927,-2.6743538,-3.3395154,-0.66516167
935.77925,-2.6788658,-3.3503052,-0.67143941
944.24513,-2.696,-3.3612569,-0.66525685
952.7876,-2.7020794,-3.3723544,-0.67027498
961.40735,-2.723534,-3.3835813,-0.66004735
970.10509,-2.7463148,-3.3949214,-0.64860653
978.88151,-2.7568907,-3.4063581,-0.64946737
987.73733,-2.7861767,-3.4178749,-0.63169812
996.67327,-2.8057946,-3.4294553,-0.62366075
1005.6901,-2.8181247,-3.441083,-0.62295831
1014.7884,-2.8441066,-3.4527417,-0.6086351
1023.9691,-2.870863,-3.4644153,-0.59355224
1033.2328,-2.9102111,-3.4760877,-0.5658766
1042.5803,-2.9549226,-3.4877434,-0.53282082
1052.0124,-3.0049063,-3.4993669,-0.49446057
1061.5299,-3.0653697,-3.5109431,-0.44557335
1071.1334,-3.1169547,-3.5224572,-0.40550254
1080.8238,-3.1684378,-3.533895,-0.36545723
1090.6019,-3.2311965,-3.5452424,-0.31404597
1100.4684,-3.2813042,-3.556486,-0.27518182
1110.4242,-3.3398639,-3.5676128,-0.22774894
